			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	"Attributes (reference only, do not change)"
																																	
Adventure Spells																																	
																																	
Åkalla båt	Åkalla båt	1	 	x	 	 	8	7	7	7	0	50	50	75	100	3	5	5	5	3	5	5	3	3	10	10	20	20	"{Åkalla båt}

Åkallar en existerande, vänskaplig, ledig båt från vartsomhelst i världen till din plats.

Chansen att lyckas är 50%.
"	"{Grundläggande Åkalla båt}

Åkallar en existerande, vänskaplig, ledig båt från vartsomhelst i världen till din plats.

Chansen att lyckas är 50%.
"	"{Avancerad Åkalla båt}

Åkallar en existerande, vänskaplig, ledig båt från vartsomhelst i världen till din plats.  Om inga båtar existerar så skapas en.

Chansen att lyckas är 75%.
"	"{Sofistikerad Åkalla båt}

Åkallar en existerande, vänskaplig, ledig båt från vartsomhelst i världen till din plats.  Om inga båtar existerar så skapas en.
"	 ADV_SPELL
Sänk Båt	Sänk Båt	2	 	x	 	 	8	6	6	6	0	50	50	75	100	6	4	4	4	4	4	4	4	4	1	1	1	1	"{Sänk Båt}

Sänker en båt i din ägo.  Använd med försiktighet, förändringen är permanent.

Chansen att lyckas är 50%.
"	"{Grundläggande Sänk Båt}

Sänker en båt i din ägo.  Använd med försiktighet, förändringen är permanent.

Chansen att lyckas är 50%.
"	"{Avancerad Sänk Båt}

Sänker en båt i din ägo.  Använd med försiktighet, förändringen är permanent.

Chansen att lyckas är 75%.
"	"{Sofistikerad Sänk Båt}

Sänker en båt i din ägo.  Använd med försiktighet, förändringen är permanent.
"	 ADV_SPELL
Visioner	Visioner	2	x	x	x	x	4	2	2	2	0	1	1	2	3	2	2	2	4	2	2	2	2	2	1	1	1	1	"{Visioner}

Ger dig en föraning om styrkan på en motståndararme, hjälte eller garnison.
"	"{Grundläggande Visioner}

Ger dig en föraning om styrkan på en motståndararme, hjälte eller garnison. Finns det närbelägna kringvandrande monster får du reda på exakt antal trupper och om de är villiga att gå med din hjälte.
"	"{Avancerad Visioner}

Ger dig en föraning om styrkan på en motståndararme, hjälte eller garnison. Finns det närbelägna kringvandrande monster får du reda på exakt antal trupper och om de är villiga att gå med din hjälte. Låter dig även avläsa en närliggande hjältes primärförmågor, varelsetyp och antal trupper, precis som om hjälten vore en del av ditt kungadöme.
"	"{Sofistikerad Visioner}

Ger dig exakta siffror på kringvandrande monster och om de är villiga att gå med din hjälte. Låter dig även avläsa en närliggande hjältes primärförmågor, varelsetyp och antal trupper, precis som om hjälten vore en del av ditt kungadöme, liksom en närliggande stads statistik, garninsons varelser och kvantitet.
"	 ADV_SPELL
Beskåda Jorden	Beskåda Jorden	1	x				2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Beskåda Jorden}

Avslöjar alla resursplatser för kastaren.
"	"{Grundläggande Beskåda Jorden}

Avslöjar alla resursplatser för kastaren.
"	"{Avancerad Beskåda Jorden}

Avslöjar alla resurs- och gruvplatser för kastaren.
"	"{Sofistikerad Beskåda Jorden}

Avslöjar alla resurs- och gruvplatser, samt visar hela terrängkartan för kastaren.
"	 ADV_SPELL
Förklä	Förklä	2	 	 	 	x	4	2	2	2	0	0	0	0	0	2	2	2	4	2	2	2	0	2	1	1	1	1	"{Förklä}

Ger falsk information till en fiende som försöker beskåda din hjälte.
"	"{Grundläggande Förklä}

Gör så att alla enheter i din armé ser ut som din starkaste enhet för alla fiender som försöker beskåda din hjälte. Antalet i varje grupp förblir oförändrat.
"	"{Avancerad Förklä}

Gör så att alla enheter i din armé ser ut som din starkaste enhet för alla fiender som försöker beskåda din hjälte. Antalet i varje grupp förefaller vara noll.
"	"{Sofistikerad Förklä}

Gör så att alla enheter i din armé ser ut som den starkaste enheten förknippad med din hjältetyp för alla fiender som försöker beskåda din hjälte. Antalet i varje grupp förefaller vara noll.
"	 ADV_SPELL
Beskåda Luften	Beskåda	1				x	2	1	1	1	0	0	0	0	0	3	3	3	3	3	3	3	3	3	1	1	1	1	"{Beskåda Luften}

Avslöjar platserna för alla tillgängliga artifakter för kastaren.
"	"{Grundläggande Beskåda Luften}

Avslöjar platserna för alla tillgängliga artifakter för kastaren.
"	"{Avancerad Beskåda Luften}

Avslöjar platserna för alla tillgängliga artifakter, plus fiendens hjältar, för kastaren.
"	"{Sofistikerad Beskåda Luften}

Avslöjar platserna för alla tillgängliga artifakter, plus fiendens hjältar och städer, för kastaren.
"	 ADV_SPELL
