	Description		
Name	Grundläggande	Avancerad	Sofistikerad
Stigfinnare	"{Grundläggande Stigfinnare}

Grundläggande Stigfinnare reducerar förflyttningsförlusten på otillgänglig terräng med 25%."	"{Avancerad Stigfinnare}

Avancerad Stigfinnare reducerar förflyttningsförlusten på otillgänglig terräng med 50%."	"{Sofistikerad Stigfinnare}

Sofistikerad Stigfinnare reducerar förflyttningsförlusten på otillgänglig terräng med 75%."
Bågskytte	"{Grundläggande Bågskytte}

Grundläggande Bågskytte ökar skadan från varelser som attackerar med projektiler med 10%."	"{Avancerat Bågskytte}

Avancerat Bågskytte ökar skadan från varelser som attackerar med projektiler med 25%."	"{Sofistikerat Bågskytte}

Sofistikerat Bågskytte ökar skadan från varelser som attackerar med projektiler med 50%."
Logistik	"{Grundläggande Logistik}

Grundläggande Logistik ökar din hjältes förflyttningspoäng på land med 10%."	"{Avancerad Logistik}

Avancerad Logistik ökar din hjältes förflyttningspoäng på land med 20%."	"{Sofistikerad Logistik}

Sofistikerad Logistik ökar din hjältes förflyttningspoäng på land med 30%."
Scouting	"{Grundläggande Scouting}

Grundläggande Scouting låter din hjälte se 1 ruta längre ut i mörkret."	"{Avancerad Scouting}

Avancerad Scouting låter din hjälte se 2 rutor längre ut i mörkret."	"{Sofistikerad Scouting}

Sofistikerad Scouting låter din hjälte se 3 ruta längre ut i mörkret."
Medling	"{Grundläggande Medling}

Grundläggande Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 20%."	"{Avancerad Medling}

Avancerad Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 40%."	"{Sofistikerad Medling}

Sofistikerad Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 60%."
Navigation	"{Basic Navigation}

Basic Navigation increases your hero's movement points at sea by 50%."	"{Advanced Navigation}

Advanced Navigation doubles your hero's movement points at sea."	"{Expert Navigation}

Expert Navigation increases your hero's movement points at sea by 150%."
Leadership	"{Basic Leadership}

Basic Leadership increases your hero's troops' morale by 1."	"{Advanced Leadership}

Advanced Leadership increases your hero's troops' morale by 2."	"{Expert Leadership}

Expert Leadership increases your hero's troops' morale by 3."
Wisdom	"{Basic Wisdom}

Basic Wisdom allows your hero to learn third level spells."	"{Advanced Wisdom}

Advanced Wisdom allows your hero to learn fourth level spells."	"{Expert Wisdom}

Expert Wisdom allows your hero to learn fifth level spells."
Mysticism	"{Basic Mysticism}

Basic Mysticism allows your hero to regenerate 2 spell points per day."	"{Advanced Mysticism}

Advanced Mysticism allows your hero to regenerate 3 spell points per day."	"{Expert Mysticism}

Expert Mysticism allows your hero to regenerate 4 spell points per day."
Luck	"{Basic Luck}

Basic Luck increases your hero's luck by 1."	"{Advanced Luck}

Advanced Luck increases your hero's luck by 2."	"{Expert Luck}

Expert Luck increases your hero's luck by 3."
Ballistics	"{Basic Ballistics}

Basic Ballistics gives control of the catapult to the hero, allowing aimed shots with increased damage."	"{Advanced Ballistics}

Advanced Ballistics gives control of the catapult to the hero, allowing two aimed shots with increased damage."	"{Expert Ballistics}

Expert Ballistics gives control of the catapult to the hero, allowing two aimed shots at maximum damage."
Eagle Eye	"{Basic Eagle Eye}

Basic Eagle Eye gives your hero a 40% chance to learn any 1st or 2nd level spell used in combat."	"{Advanced Eagle Eye}

Advanced Eagle Eye gives your hero a 50% chance to learn any spell up to 3rd level used in combat."	"{Expert Eagle Eye}

Expert Eagle Eye gives your hero a 60% chance to learn any spell up to 4th level used in combat."
Necromancy	"{Basic Necromancy}

Basic Necromancy allows 10% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Advanced Necromancy}

Advanced Necromancy allows 20% of the creatures killed in combat to be brought back from the dead as Skeletons."	"{Expert Necromancy}

Expert Necromancy allows 30% of the creatures killed in combat to be brought back from the dead as Skeletons."
Estates	"{Basic Estates}

With Eestates, a hero contributes 125 gold per day to your cause."	"{Advanced Estates}

With Estates, a hero contributes 250 gold per day to your cause."	"{Expert Estates}

With Estates, a hero contributes 500 gold per day to your cause."
Fire Magic	"{Basic Fire Magic}

Basic Fire Magic allows your hero to cast Fire spells at reduced cost."	"{Advanced Fire Magic}

Advanced Fire Magic allows your hero to cast Fire spells at reduced cost and increased effectiveness."	"{Expert Fire Magic}

Expert Fire Magic allows your hero to cast Fire spells at reduced cost and maximum effectiveness."
Air Magic	"{Basic Air Magic}

Basic Air Magic allows your hero to cast Air spells at reduced cost."	"{Advanced Air Magic}

Advanced Air Magic allows your hero to cast Air spells at reduced cost and increased effectiveness."	"{Expert Air Magic}

Expert Air Magic allows your hero to cast Air spells at reduced cost and maximum effectiveness."
