	Description		
Name	Grundläggande	Avancerad	Mästerlig
Stigfinnare	"{Grundläggande Terrängvandring}

Grundläggande Terrängvandring reducerar förflyttningsförlusten på tuff terräng med 25%."	"{Avancerad Terrängvandring}

Avancerad Terrängvandring reducerar förflyttningsförlusten på tuff terräng med 50%."	"{Mästerlig Terrängvandring}

Mästerlig Terrängvandring reducerar förflyttningsförlusten på tuff terräng med 75%."
Bågskytte	"{Grundläggande Bågskytte}

Grundläggande Bågskytte ökar skadan från skjutande varelser med 10%."	"{Avancerat Bågskytte}

Avancerat Bågskytte ökar skadan från skjutande varelser med 25%."	"{Mästerligt Bågskytte}

Mästerligt Bågskytte ökar skadan från skjutande varelser med 50%."
Logistik	"{Grundläggande Logistik}

Grundläggande Logistik ökar din hjältes färdpoäng på land med 10%."	"{Avancerad Logistik}

Avancerad Logistik ökar din hjältes färdpoäng på land med 20%."	"{Mästerlig Logistik}

Mästerlig Logistik ökar din hjältes färdpoäng på land med 30%."
Spaning	"{Grundläggande Spaning}

Med Grundläggande Spaning kan din hjälte se 1 ruta längre ut i det outforskade."	"{Avancerad Spaning}

Med Avancerad Spaning kan din hjälte se 2 rutor längre ut i det outforskade."	"{Mästerlig Spaning}

Med Mästerlig Spaning kan din hjälte se 3 ruta längre ut i det outforskade."
Medling	"{Grundläggande Medling}

Grundläggande Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 20%."	"{Avancerad Medling}

Avancerad Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 40%."	"{Mästerlig Medling}

Mästerlig Medling låter dig förhandla med monster som är svagare än din grupp och sänker kostnaden för att ge upp ett slag med 60%."
Navigation	"{Grundläggande Navigation}

Grundläggande Navigation ökar din hjältes färdpoäng på havet med 50%."	"{Avancerad Navigation}

Avancerad Navigation fördubblar din hjältes färdpoäng på havet."	"{Mästerlig Navigation}

Mästerlig Navigation ökar din hjältes färdpoäng på havet med 150%."
Ledarskap	"{Grundläggande Ledarskap}

Grundläggande Ledarskap ökar dina truppers moral med 1."	"{Avancerat Ledarskap}

Avancerat Ledarskap ökar dina truppers moral med 2."	"{Mästerligt Ledarskap}

Mästerligt Ledarskap ökar dina truppers moral med 3."
Vishet	"{Grundläggande Vishet}

Med Grundläggande Vishet kan din hjälte lära sig trollformler av tredje nivån."	"{Avancerad Vishet}

Med Avancerad Vishet kan din hjälte lära sig trollformler av fjärde nivån."	"{Mästerlig Vishet}

Vishet låter din hjälte lära sig trollformler av femte nivån."
Mystik	"{Grundläggande Mystik}

Med Grundläggande Mystik kan din hjälte återhämta 2 trollformelspoäng per dag."	"{Avancerad Mystik}

Med Avancerad Mystik kan din hjälte återhämta 3 trollformelspoäng per dag."	"{Mästerlig Mystik}

Med Mästerlig Mystik kan din hjälte återhämta 4 trollformelspoäng per dag."
Tur	"{Grundläggande Tur}

Grundläggande Tur ökar din hjältes tur med 1."	"{Avancerad Tur}

Avancerad Tur ökar din hjältes tur med 2."	"{Mästerlig Tur}

Mästerlig Tur ökar din hjältes tur med 3."
Ballistik	"{Grundläggande Ballistik}

Grundläggande Ballistik ger hjälten kontrollen över katapulten, vilket tillåter riktade skott med förhöjd skada."	"{Avancerad Ballistik}

Avancerad Ballistik ger hjälten kontrollen över katapulten, vilket tillåter två riktade skott med förhöjd skada."	"{Mästerlig Ballistik}

Mästerlig Ballistik ger hjälten kontrollen över katapulten, vilket tillåter två riktade skott med maximal skada."
Skarpsynthet	"{Grundläggande Skarpsynthet}

Grundläggande Skarpsynthet ger hjälten 40% chans att lära sig trollformler av nivå 1 och 2 som kastas under strid."	"{Avancerad Skarpsynthet}

Avancerad Skarpsynthet ger hjälten 50% chans att lära sig trollformler upp till nivå 3 som kastas under strid."	"{Mästerlig Skarpsynthet}

Mästerlig Skarpsynthet ger hjälten 60% chans att lära sig trollformler upp till nivå 4 som kastas under strid."
