Obstacles					Terrain		Terrain modifiers									Adjacent																																																																																																													Overlap																																																																																																												
Name	Id	Type	Id	Subtype	Name	Id	dirt	sand	grass	snow	swamp	rough	cave	lava	water	dirt oak tree	dirt crater	dirt log	dirt flower	dirt lake	dirt mound	dirt mountain	dirt outcropping	dirt pine tree	dirt rock	dirt shrub	dirt stump	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	sand cactus	sand crater	sand sand dune	sand mountain	sand tree	sand skull	sand sand pit	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	grass oak tree	grass crater	grass log	grass flower	grass lake	grass mound	grass mountain	grass outcropping	grass pine tree	grass rock	grass shrub	grass stump	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	snow dead vegetation	snow frozen lake	snow mountain	snow outcropping	snow stump	snow rock	snow shrub	snow pine tree	snow crystal mine	snow gold mine	snow sawmill	swamp crater	swamp dead vegetation	swamp lake	swamp mandrake	swamp mountain	swamp rock	swamp shrub	swamp oak tree	swamp tree	swamp moss	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	rough rock	rough cactus	rough crater	rough mound	rough mountain	rough outcropping	rough tree	rough shrub	rough skull	rough log	rough stump	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	cave crater	cave dead vegetation	cave mushroom	cave lake	cave lava lake	cave lava flow	cave mountain	cave outcropping	cave rock	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	lava crater	lava dead vegetation	lava lava lake	lava lava flow	lava mountain	lava volcano	lava crystal mine	lava gold mine	lava sawmill	water rock	water reef	dirt oak tree	dirt crater	dirt log	dirt flower	dirt lake	dirt mound	dirt mountain	dirt outcropping	dirt pine tree	dirt rock	dirt shrub	dirt stump	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	sand cactus	sand crater	sand sand dune	sand mountain	sand tree	sand skull	sand sand pit	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	grass oak tree	grass crater	grass log	grass flower	grass lake	grass mound	grass mountain	grass outcropping	grass pine tree	grass rock	grass shrub	grass stump	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	snow dead vegetation	snow frozen lake	snow mountain	snow outcropping	snow stump	snow rock	snow shrub	snow pine tree	snow crystal mine	snow gold mine	snow sawmill	swamp crater	swamp dead vegetation	swamp lake	swamp mandrake	swamp mountain	swamp rock	swamp shrub	swamp oak tree	swamp tree	swamp moss	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	rough rock	rough cactus	rough crater	rough mound	rough mountain	rough outcropping	rough tree	rough shrub	rough skull	rough log	rough stump	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	cave crater	cave dead vegetation	cave mushroom	cave lake	cave lava lake	cave lava flow	cave mountain	cave outcropping	cave rock	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	lava crater	lava dead vegetation	lava lava lake	lava lava flow	lava mountain	lava volcano	lava crystal mine	lava gold mine	lava sawmill	water rock	water reef
Obstacle Id																1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109
dirt oak tree	1	oak tree	135	0	dirt	0	10	-5000	10	0	0	0	-5000	-5000	-5000	100	10	30	30	30	10	10	10	30	10	30	30	30	30	10	10	100	-5000	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	100	30	30	10	10	30	10	30	-5000	10	10	-5000	10	30	30	30	10	10	30	30	-5000	30	30	10	10	100	10	-5000	10	10	10	10	30	30	10	30	30	-5000	10	10	100	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	30	-5000	-5000	-5000	-5000	10	10	30	10	10	30	-5000	-5000	0	-5000	0	30	0	10	0	0	-5000	0	10	30	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	-5000	30	0	10	0	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	0	30	30	30	0	-5000	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
dirt crater	2	crater	118	0	dirt	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt log	3	log	130	0	dirt	0	5	0	5	5	5	5	0	0	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	10	5	5	10	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	10	5	5	5	10	10	5	5	10	10	5	5	5	5	5	5	10	5	5	10	5	10	5	5	5	5	5	10	10	5	5	5	5	10	5	5	5	5	5	5	10	5	5	5	5	5	5	5	10	5	10	5	5	5	5	5	5	5	5	5	5	10	5	10	5	5	5	5	5	5	10	5	5	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt flower	4	flower	120	0	dirt	0	5	-5000	5	-5000	0	-10	-5000	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	30	5	5	10	-5000	5	-5000	5	-5000	-5000	-5000	10	5	5	-5000	10	5	5	-10	5	5	5	5	10	5	-10	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	5	5	5	5	5	-5000	5	-10	5	5	-10	5	5	-10	-10	5	5	10	5	-5000	5	5	5	5	10	-10	-5000	5	5	10	5	5	10	5	-5000	-5000	5	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt lake	5	lake	126	0	dirt	0	5	-5000	5	-5000	5	-5000	-5000	-5000	-5000	10	5	5	5	-5000	5	5	5	10	5	5	5	10	30	5	5	10	-5000	5	-5000	5	10	5	-5000	-5000	5	5	10	10	5	5	5	-5000	-10	5	5	10	5	5	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	-5000	5	5	-5000	5	5	-5000	5	5	5	5	10	10	5	5	5	5	10	5	-5000	5	-10	5	5	10	5	5	5	5	-5000	5	5	10	5	-5000	-5000	-5000	-5000	-5000	5	5	5	-5000	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt mound	6	mound	133	0	dirt	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	-5000	10	10	5	10	5	5	5	5	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-10	5	5	5	5	-10	5	5	5	5	5	5	5	5	5	5	-10	5	-10	5	5	5	5	5	5	5	-10	5	5	-10	5	5	-10	-10	5	5	5	5	-10	5	-10	5	5	5	-10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt mountain	7	mountain	134	0	dirt	0	10	5	0	-10	-10	5	5	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	0	-5000	-5000	10	0	-5000	-5000	30	10	10	0	0	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	30	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
dirt outcropping	8	outcropping	136	0	dirt	0	10	0	0	-5000	-5000	5	5	-5000	-5000	10	10	10	10	10	10	30	-5000	10	30	10	10	10	10	30	30	10	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	10	30	-5000	10	30	10	10	10	10	30	30	10	10	10	-5000	-5000	10	-5000	10	10	-5000	-5000	10	10	10	10	10	5	5	10	10	10	10	10	5	5	10	30	10	10	10	30	-5000	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	30	-5000	30	5	30	30	10	10	10	10	10	30	30	30	30	10	10	10	-5000	-5000	-5000	-5000	-5000	-5000	10	30	-5000	10	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	-5000	-5000	-5000	-5000	10	0	0	10	0	0	0	0	10	10	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	0	-5000	0	-5000	0	0	0	-5000	0	0	-5000	-5000	0	0	-5000	10	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	0	-5000	-5000	-5000	-5000	0	0	0	-5000	0	0	0	-5000	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000
dirt pine tree	9	pine tree	137	0	dirt	0	10	-5000	10	5	-10	0	-5000	-5000	-5000	30	10	30	30	30	10	10	10	100	10	30	30	30	30	10	10	30	-5000	10	-5000	10	-5000	-5000	10	-5000	10	10	-5000	30	10	30	30	30	10	10	10	100	10	30	30	30	30	10	10	30	30	30	10	10	30	10	30	30	10	10	30	10	30	30	30	10	10	30	30	-5000	30	30	10	10	30	10	-5000	10	10	10	10	5	30	-5000	30	30	-5000	10	10	30	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	30	-5000	-5000	-5000	-5000	10	10	30	10	10	10	-5000	-5000	-5000	-5000	-5000	30	0	30	0	10	-5000	-5000	-5000	30	30	10	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	-5000	30	0	30	0	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	-5000	30	30	10	0	-5000	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
